beat,time_sec
0,0.0000
1,0.2133
2,0.5120
3,0.8107
4,1.1093
5,1.4933
6,1.7920
7,2.1760
8,2.4747
9,2.8801
10,3.3280
11,3.7334
12,4.1388
13,4.5442
14,4.9496
15,5.3550
16,5.7604
17,6.1658
18,6.5712
19,6.9766
20,7.3821
21,7.7875
22,8.1929
23,8.5983
24,9.0037
25,9.5573
26,9.9627
27,10.3681
28,10.7735
29,11.4347
30,11.8401
31,12.4160
32,12.8214
33,13.2268
34,13.6322
35,14.0376
36,14.4430
37,15.0187
38,15.4027
39,15.8081
40,16.2135
41,16.6189
42,17.0243
43,17.4507
44,17.7920
45,18.1760
46,18.5600
47,18.9440
48,19.3707
49,19.7547
50,20.1387
51,20.5227
52,20.9493
53,21.3333
54,21.7173
55,22.1013
56,22.5280
57,22.9973
58,23.6800
59,24.1067
60,24.4907
61,24.9173
62,25.2587
63,25.6853
64,26.1120
65,26.4533
66,26.8373
67,27.2640
68,27.7333
69,28.0320
70,28.4160
71,28.8427
72,29.2693
73,29.6747
74,30.4640
75,30.8053
76,31.1040
77,31.4880
78,31.8934
79,32.3840
80,32.6827
81,32.9813
82,33.4933
83,33.9627
84,34.3467
85,34.7307
86,35.0720
87,35.4560
88,35.8400
89,36.3947
90,36.6933
91,37.0347
92,37.4187
93,37.8880
94,38.2293
95,38.6987
96,38.9973
97,39.3813
98,39.9360
99,40.2773
100,40.5760
101,40.9600
102,41.4293
103,41.7707
104,42.1547
105,42.6240
106,42.9653
107,43.3493
108,43.7333
109,44.0320
110,44.5440
111,44.9280
112,45.3120
113,45.6960
114,46.1227
115,46.5920
116,46.8907
117,47.2747
118,47.7013
119,48.0853
120,48.3840
121,48.7894
122,49.2800
123,49.6640
124,50.0480
125,50.8587
126,51.2427
127,51.6267
128,52.0960
129,52.5227
130,52.9067
131,53.2053
132,53.5040
133,54.1013
134,54.4853
135,55.2533
136,55.6587
137,56.0641
138,56.8320
139,57.4293
140,57.8347
141,58.2401
142,58.6455
143,59.0510
144,59.4564
145,60.0320
146,60.4374
147,60.8428
148,61.6107
149,62.0161
150,62.4215
151,62.8269
152,63.2323
153,63.9573
154,64.6400
155,65.3227
156,65.7281
157,66.1335
158,66.9013
159,67.3067
160,67.8827
161,68.3093
162,68.6080
163,68.9920
164,69.3974
165,69.9307
166,70.2720
167,70.5707
168,70.9761
169,71.4667
170,71.7653
171,72.2347
172,72.6401
173,73.4293
174,73.7280
175,74.4107
176,74.8161
177,75.6053
178,76.0107
179,76.4161
180,76.8215
181,77.3973
182,78.1653
183,78.5493
184,79.3600
185,79.6587
186,80.1707
187,80.5547
188,80.9387
189,81.3227
190,81.7067
191,82.5173
192,83.2000
193,83.6054
194,84.0960
195,84.7787
196,85.1841
197,85.6747
198,85.9733
199,86.4427
200,87.2533
201,87.6373
202,88.0213
203,88.4907
204,88.8320
205,89.1307
206,89.5361
207,89.9415
208,90.4107
209,90.7093
210,91.0933
211,91.4987
212,91.9893
213,92.2880
214,92.7573
215,93.0987
216,93.5680
217,93.8667
218,94.3360
